ID,Brand,Model,Fuel,Mileage,Year,Transmission,Price,Bodywork,CO2,Color,Euro Standard,Doors,HP,Description,Link
FB116890,Audi,Q3,Gas,21786,2021,Automatic,32990,SUV,149.0,Grijs,Euro 6,5,150,"Deze Audi Q3 S Line is voor het eerst ingeschreven in 2021 

en heeft 21 786 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereAudi Q3",https://www.autosphere.be/nl/detail/audi-q3-s-line-1930-zaventem-fb116890
FB118238,Renault,Megane,Hybride,18181,2023,Automatic,24990,Limousine,29.0,Grijs,Euro 6,5,94,"Deze Renault Megane PHEV*I-Tech Engenering*Boite auto*GPS*CamĂ©ra*Led is voor het eerst ingeschreven in 2023 

en heeft 18 181 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Megane",https://www.autosphere.be/nl/detail/renault-megane-phev*i-tech-engenering*boite-auto*gps*camera*led-1930-zaventem-fb118238
FB117338,Land Rover,Range Rover Evoque,Diesel,40940,2023,Automatic,36990,SUV,172.0,Zwart,Euro 6,5,163,"Deze Land Rover Range Rover Evoque *Boite auto*GPS*Carplay*CamĂ©ra*Led*Hayon Ă©lec is voor het eerst ingeschreven in 2023 

en heeft 40 940 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereLand Rover Range Rover Evoque",https://www.autosphere.be/nl/detail/land-rover-range-rover-evoque-*boite-auto*gps*carplay*camera*led*hayon-elec-1930-zaventem-fb117338
FB116891,Lexus,UX 250h,Hybride,16027,2023,Automatic,26990,Limousine,120.0,Blauw,Euro 6,5,152,"Deze Lexus UX 250h *Boite auto*Carplay*Led*Clim auto is voor het eerst ingeschreven in 2023 

en heeft 16 027 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereLexus UX 250h",https://www.autosphere.be/nl/detail/lexus-ux-250h-*boite-auto*carplay*led*clim-auto-1930-zaventem-fb116891
FB118716,Renault,Captur,Gas,18345,2024,Manual,19990,SUV,132.0,Grijs,Euro 6,5,91,"Deze Renault Captur *GPS*Carplay*CamĂ©ra*APS Av/Ar*Clim auto is voor het eerst ingeschreven in 2024 

en heeft 18 345 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Captur",https://www.autosphere.be/nl/detail/renault-captur-*gps*carplay*camera*aps-av-ar*clim-auto-1930-zaventem-fb118716
FB119398,Renault,Clio,Gas,6710,2024,Manual,17390,City,1.0,Zwart,Euro 6,5,90,"Deze Renault Clio *Carplay*Clim auto*APS Ar*RĂ©gul is voor het eerst ingeschreven in 2024 

en heeft 6 710 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*carplay*clim-auto*aps-ar*regul-1930-zaventem-fb119398
FB121290,Renault,Megane,Hybride,17070,2022,Automatic,19990,Limousine,27.0,Zwart,Euro 6,5,94,"Deze Renault Megane *Boite auto*GPS*Carplay*CamĂ©ra*APS Av/Ar is voor het eerst ingeschreven in 2022 

en heeft 17 070 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Megane",https://www.autosphere.be/nl/detail/renault-megane-*boite-auto*gps*carplay*camera*aps-av-ar-1930-zaventem-fb121290
FB120574,Renault,Austral,Hybride,16806,2024,Automatic,34990,SUV,102.0,Grijs,Euro 6,5,131,"Deze Renault Austral Techno Esprit Alpine 200 CV/PK is voor het eerst ingeschreven in 2024 

en heeft 16 806 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Austral",https://www.autosphere.be/nl/detail/renault-austral-techno-esprit-alpine-200-cv-pk-1930-zaventem-fb120574
FB124888,Renault,Arkana,Gas,13946,2022,Automatic,22990,SUV,132.0,Oranje,Euro 6,5,140,"Deze Renault Arkana 1.33 TCe R.S.Line GPF EDC is voor het eerst ingeschreven in 2022 

en heeft 13 946 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Arkana",https://www.autosphere.be/nl/detail/renault-arkana-1-33-tce-r-s-line-gpf-edc-1930-zaventem-fb124888
FB125835,Renault,Talisman,Gas,37227,2016,Automatic,15990,Limousine,127.0,Zwart,Euro 6,4,150,"Deze Renault Talisman Intens automatic is voor het eerst ingeschreven in 2016 

en heeft 37 227 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Talisman",https://www.autosphere.be/nl/detail/renault-talisman-intens-automatic-1930-zaventem-fb125835
FB119401,Renault,Clio,Gas,8732,2024,Manual,17990,City,1.0,Wit,Euro 6,5,90,"Deze Renault Clio *Carplay*Clim auto*APS Ar*RĂ©gul is voor het eerst ingeschreven in 2024 

en heeft 8 732 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Clio",https://www.autosphere.be/nl/detail/renault-clio-*carplay*clim-auto*aps-ar*regul-1930-zaventem-fb119401
FB125856,Renault,Captur,Gas,18112,2023,Manual,19490,SUV,132.0,Grijs,Euro 6,5,91,"Deze Renault Captur 1.0 TCe Techno is voor het eerst ingeschreven in 2023 

en heeft 18 112 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Captur",https://www.autosphere.be/nl/detail/renault-captur-1-0-tce-techno-1930-zaventem-fb125856
FB127261,Renault,Espace,Hybride,17283,2024,Automatic,42990,SUV,106.0,Grijs,Euro 6,5,131,"Deze Renault Espace 1.2 E-Tech HEV Esprit Alpine 5pl. 200 Ch is voor het eerst ingeschreven in 2024 

en heeft 17 283 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Espace",https://www.autosphere.be/nl/detail/renault-espace-1-2-e-tech-hev-esprit-alpine-5pl-200-ch-1930-zaventem-fb127261
FB127671,Honda,HR-V,Gas,49055,2018,Manual,15990,SUV,134.0,Zwart,Euro 6,5,131,"Deze Honda HR-V Executive is voor het eerst ingeschreven in 2018 

en heeft 49 055 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereHonda HR-V",https://www.autosphere.be/nl/detail/honda-hr-v-executive-1930-zaventem-fb127671
FB128163,Audi,A1,Gas,54204,2019,Automatic,18990,Coupé,137.0,Geel,Euro 6,5,116,"Deze Audi A1 Advanced is voor het eerst ingeschreven in 2019 

en heeft 54 204 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereAudi A1",https://www.autosphere.be/nl/detail/audi-a1-advanced-1930-zaventem-fb128163
FB128429,Renault,Trafic,Diesel,15701,2023,Automatic,29990,Other,189.0,Zwart,Euro 6,5,150,"Deze Renault Trafic VAN FG GCF L2H1 3T blue dci is voor het eerst ingeschreven in 2023 

en heeft 15 701 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Trafic",https://www.autosphere.be/nl/detail/renault-trafic-van-fg-gcf-l2h1-3t-blue-dci-1930-zaventem-fb128429
FB128499,Renault,Rafale,Hybride,16802,2024,Automatic,43990,SUV,113.0,Zwart,Euro 6,5,131,"Deze Renault Rafale 1.2 E-Tech HEV Esprit Alpine 200 Ch is voor het eerst ingeschreven in 2024 

en heeft 16 802 kilometers gereden.

    De beschrijving van de uitrusting en opties van dit voertuig zijn louter ter informatieve titel en onder voorbehoud van vergissingen.Ontdek onze andereRenault Rafale",https://www.autosphere.be/nl/detail/renault-rafale-1-2-e-tech-hev-esprit-alpine-200-ch-1930-zaventem-fb128499
